Batan et al. (2010),1.075268817
Brentner et al. (2011),0.127877238
Brentner et al. (2011),0.925925926
Campbell et al. (2011),4.25
Chowdhury et al. (2012),1.265822785
Chowdhury et al. (2012),1.724137931
Clarens et al. (2011),0.65
Clarens et al. (2011),1.11
Clarens et al. (2011),1.36
Clarens et al. (2011),1.99
Frank et al. (2011),1.8237
Jorquera et al. (2010),1.58
Jorquera et al. (2010),2.56
Khoo et al. (2011),0.225225225
Khoo et al. (2011),0.53
Lardon et al. (2009),0.51
Lardon et al. (2009),0.96
Lardon et al. (2009),0.68
Lardon et al. (2009),1.34
Razon & Tan (2011),0.09
Razon & Tan (2011),0.4
Sander & Murthy (2010),1.77
Sander & Murthy (2010),3.33
Sawayama et al. (1999),0.64
Sawayama et al. (1999),2.22
Shirvani et al. (2011),0.310559006
Shirvani et al. (2011),0.581395349
Stephenson et al. (2010),1.54
Stephenson et al. (2010),0.349
Vasudevan et al. (2012),0.3
Vasudevan et al. (2012),2.5
